Age,Monthly_Income,Customer_Type,Nationality_Cluster,Loyalty_Status,Dining_Frequency,Avg_Spend_AED,Order_Time,Day_Preference,Order_Channel,Group_Size,Distance_Category,Cuisine_Preference,Restaurant_Tier,Restaurant_Location,Price_Sensitivity,Offpeak_Willingness,Fairness_Perception,Discount_Importance,Discount_Motivation,Weather_Behaviour,Peak_Months,Experience_Rating,Challenges,Desired_Features,Demand_Level,Surge_Multiplier,Table_Occupancy_Pct,Base_Order_Value,Final_Order_Value,Discount_Percentage,Delivery_Distance_km,Est_Delivery_Time_min,Customer_Rating,App_Adoption
25-34,5000-10000,Student,East Asian,Loyal to 1-2,Rarely,45.22,Dinner,Weekends,Takeaway,Alone,<3km,Asian,Depends on occasion,Business Bay,Very sensitive,Probably not,Unfair,Moderately important,10%,Switch to delivery in heat,"Jan-Mar, Jul-Sep",3,"Limited discounts, Hard to find tables, High weekend prices, High delivery fees","Loyalty rewards, Personalised discounts",High,1.2,,45.22,54.26,0.0,1.9,22.0,3,Yes
18-24,5000-10000,Student,South Asian,Few regulars,Multiple/week,49.62,Lunch,Both,Delivery App,2 people,<3km,Indian/Pakistani,Mid-range,Marina,Moderately sensitive,Probably yes,Very fair,Extremely important,15%,Outdoor dining in pleasant weather,"Jul-Sep, Jan-Mar, Apr-Jun",4,"Limited discounts, Crowded restaurants",Personalised discounts,Medium,0.98,,49.62,48.63,2.0,1.6,16.0,4,Yes
25-34,5000-10000,Family,African,Explorer,2-3/month,94.51,Lunch,Both,Takeaway,5+,3-7km,Indian/Pakistani,Mid-range,Mall,Slightly sensitive,Probably yes,Very fair,Not important,15%,Switch to delivery in heat,"Apr-Jun, Oct-Dec",1,"Long delivery time, High weekend prices, Crowded restaurants, High delivery fees","Low-demand discounts, Personalised discounts, Group dining deals",Medium,0.89,,94.51,84.11,11.0,6.7,35.0,1,Yes
18-24,<5000,Professional,South Asian,Loyal to 1-2,2-3/month,33.94,Late Night,Weekdays,Restaurant App,Alone,<3km,Indian/Pakistani,Depends on occasion,Marina,Moderately sensitive,Probably yes,Unfair,Not important,10%,No impact,Oct-Dec,5,"Long delivery time, Long wait times, Crowded restaurants","Group dining deals, Personalised discounts, Loyalty rewards",Medium,0.97,,33.94,32.92,3.0,1.9,20.0,5,Yes
25-34,10001-20000,Family,Western Expat,Loyal to 1-2,Rarely,69.4,Lunch,Weekends,Dine-in,3-4 people,<3km,Western,Budget/Casual,JBR,Moderately sensitive,Probably yes,Very fair,Not important,10%,Switch to delivery in heat,"Jul-Sep, Jan-Mar",3,"Long wait times, Limited discounts","Loyalty rewards, Personalised discounts",Medium,0.98,50.5,69.4,68.01,2.0,,,3,No
55+,10001-20000,Tourist,South Asian,Explorer,Once/week,99.74,Breakfast,Both,Delivery App,3-4 people,<3km,Asian,Budget/Casual,Deira,Very sensitive,Maybe,Very unfair,Moderately important,20%,Switch to delivery in heat,"Jul-Sep, Jan-Mar",4,Limited discounts,"Group dining deals, Loyalty rewards",Medium,0.98,,99.74,97.75,2.0,2.2,22.0,4,No
25-34,5000-10000,Tourist,Western Expat,Loyalty program user,Once/week,60.64,Dinner,Both,Delivery App,Alone,<3km,Healthy/Vegan,Mid-range,Mall,Very sensitive,Maybe,Unfair,Very important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Apr-Jun",2,"Crowded restaurants, High weekend prices, Long delivery time, Unpredictable pricing","Demand alerts, Low-demand discounts",High,1.22,,60.64,73.98,0.0,1.4,15.0,2,No
55+,10001-20000,Professional,Arab,Loyal to 1-2,Once/month,109.79,Lunch,Both,Dine-in,2 people,>15km,Arabic,Depends on occasion,Deira,Moderately sensitive,Probably yes,Neutral,Extremely important,>20%,Switch to delivery in heat,Apr-Jun,4,"Long delivery time, Hard to find tables","Group dining deals, Real-time pricing, Wait time estimate, Loyalty rewards",Medium,0.99,62.1,109.79,108.69,1.0,,,4,Yes
25-34,5000-10000,Professional,South Asian,Few regulars,Rarely,60.37,Dinner,Both,Delivery App,2 people,<3km,Western,Mid-range,Business Bay,Moderately sensitive,Definitely yes,Unfair,Extremely important,10%,Switch to delivery in heat,"Jul-Sep, Apr-Jun",3,"Crowded restaurants, Unpredictable pricing","Low-demand discounts, Loyalty rewards, Group dining deals, Demand alerts",Medium,0.98,,60.37,59.16,2.0,2.2,17.0,3,No
18-24,5000-10000,Student,South Asian,Explorer,Multiple/week,40.53,Late Night,Weekends,Takeaway,2 people,<3km,Asian,Budget/Casual,Deira,Very sensitive,Probably not,Very unfair,Very important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun, Jul-Sep",4,"Limited discounts, High weekend prices, High delivery fees, Unpredictable pricing",Group dining deals,High,1.18,,40.53,47.83,0.0,2.6,24.0,4,No
18-24,<5000,Student,South Asian,Explorer,Once/week,34.37,Dinner,Weekends,Delivery App,Alone,3-7km,Fast Food,Depends on occasion,Deira,Very sensitive,Probably yes,Somewhat fair,Very important,20%,Outdoor dining in pleasant weather,Jan-Mar,3,Limited discounts,"Wait time estimate, Low-demand discounts, Group dining deals, Table availability",High,1.23,,34.37,42.28,0.0,4.6,32.0,3,Yes
35-44,20001-35000,Family,South Asian,Few regulars,Once/week,178.28,Dinner,Both,Delivery App,3-4 people,<3km,Indian/Pakistani,Mid-range,Downtown,Moderately sensitive,Definitely yes,Unfair,Very important,5%,No impact,Apr-Jun,4,"Long wait times, Limited discounts, High weekend prices","Personalised discounts, Wait time estimate, Group dining deals",Medium,1.01,,178.28,180.06,0.0,1.7,21.0,4,No
35-44,10001-20000,Tourist,South Asian,Few regulars,Rarely,266.61,Lunch,Weekdays,Dine-in,5+,7-15km,Fast Food,Premium/Fine Dining,DIFC,Very sensitive,Probably yes,Neutral,Very important,>20%,Dine-in more during heat,Oct-Dec,4,"Long delivery time, Hard to find tables","Wait time estimate, Table availability",Medium,1.22,62.0,266.61,325.26,0.0,,,4,Yes
35-44,>35000,Family,South Asian,Loyal to 1-2,Once/week,240.53,Late Night,Weekends,Delivery App,3-4 people,3-7km,Western,Budget/Casual,DIFC,Moderately sensitive,Maybe,Somewhat fair,Very important,15%,No impact,"Apr-Jun, Oct-Dec",4,"Crowded restaurants, Unpredictable pricing, Limited discounts, Long wait times","Demand alerts, Personalised discounts, Wait time estimate, Low-demand discounts",High,1.13,,240.53,271.8,0.0,4.8,24.0,4,Yes
25-34,10001-20000,Professional,South Asian,Few regulars,2-3/month,203.65,Dinner,Both,Delivery App,2 people,3-7km,Asian,Premium/Fine Dining,Marina,Moderately sensitive,Probably yes,Somewhat fair,Moderately important,10%,Outdoor dining in pleasant weather,Jan-Mar,4,High weekend prices,Wait time estimate,High,1.31,,203.65,266.78,0.0,3.3,20.0,4,Yes
18-24,10001-20000,Student,South Asian,Loyal to 1-2,Once/week,77.79,Lunch,Weekdays,Delivery App,3-4 people,<3km,Asian,Budget/Casual,DIFC,Very sensitive,Probably yes,Neutral,Extremely important,10%,Switch to delivery in heat,"Jul-Sep, Oct-Dec, Apr-Jun",4,"Limited discounts, Hard to find tables, High delivery fees, Long wait times","Table availability, Real-time pricing, Demand alerts, Loyalty rewards",Medium,0.92,,77.79,71.57,8.0,1.5,12.0,4,Yes
18-24,<5000,Professional,Western Expat,Loyalty program user,Once/month,37.02,Dinner,Both,Dine-in,3-4 people,3-7km,Indian/Pakistani,Budget/Casual,Mall,Moderately sensitive,Definitely yes,Somewhat fair,Extremely important,10%,Dine-in more during heat,"Apr-Jun, Jul-Sep",2,"Hard to find tables, Limited discounts, High delivery fees, Long delivery time","Group dining deals, Wait time estimate, Low-demand discounts, Loyalty rewards",Medium,0.99,56.9,37.02,36.65,1.0,,,2,No
25-34,<5000,Professional,Arab,Loyal to 1-2,Once/week,31.54,Lunch,Both,Restaurant App,2 people,<3km,Arabic,Budget/Casual,Mall,Very sensitive,Definitely yes,Neutral,Moderately important,20%,Outdoor dining in pleasant weather,Oct-Dec,1,"Long delivery time, Limited discounts","Wait time estimate, Personalised discounts, Group dining deals, Real-time pricing",Medium,1.0,,31.54,31.54,0.0,2.2,15.0,1,No
35-44,10001-20000,Professional,South Asian,Loyalty program user,Once/week,83.39,Lunch,Weekends,Dine-in,Alone,<3km,Asian,Mid-range,Business Bay,Slightly sensitive,Probably not,Unfair,Slightly important,10%,No impact,"Apr-Jun, Oct-Dec",4,Crowded restaurants,"Low-demand discounts, Demand alerts, Group dining deals",Medium,0.92,66.4,83.39,76.72,8.0,,,4,No
35-44,>35000,Family,Western Expat,Few regulars,Multiple/week,355.52,Dinner,Both,Dine-in,5+,<3km,Indian/Pakistani,Mid-range,JBR,Very sensitive,Definitely not,Somewhat fair,Very important,>20%,Switch to delivery in heat,"Jan-Mar, Apr-Jun, Oct-Dec",5,"Limited discounts, Unpredictable pricing, Hard to find tables","Wait time estimate, Group dining deals, Table availability",High,1.2,100.0,355.52,426.62,0.0,,,5,Yes
18-24,5000-10000,Family,Western Expat,Loyalty program user,Once/month,66.49,Late Night,Both,Restaurant App,5+,7-15km,Arabic,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Somewhat fair,Moderately important,15%,Outdoor dining in pleasant weather,"Jul-Sep, Jan-Mar, Oct-Dec",4,Hard to find tables,Loyalty rewards,High,1.22,,66.49,81.12,0.0,7.2,26.0,4,Yes
35-44,20001-35000,Family,South Asian,Loyal to 1-2,Once/week,176.28,Breakfast,Both,Delivery App,3-4 people,<3km,Asian,Mid-range,JBR,Moderately sensitive,Probably not,Somewhat fair,Moderately important,10%,Dine-in more during heat,"Apr-Jun, Oct-Dec, Jan-Mar",3,"Long wait times, High weekend prices","Loyalty rewards, Personalised discounts",Medium,1.05,,176.28,185.09,0.0,1.0,13.0,3,No
18-24,<5000,Family,Western Expat,Loyal to 1-2,Once/month,32.27,Late Night,Weekends,Takeaway,3-4 people,7-15km,Western,Budget/Casual,Deira,Very sensitive,Probably yes,Somewhat fair,Extremely important,15%,Outdoor dining in pleasant weather,Jan-Mar,5,High delivery fees,"Group dining deals, Real-time pricing, Wait time estimate, Low-demand discounts",High,1.22,,32.27,39.37,0.0,11.1,44.0,5,Yes
25-34,>35000,Tourist,Western Expat,Explorer,Multiple/week,350.85,Lunch,Both,Delivery App,3-4 people,>15km,Healthy/Vegan,Premium/Fine Dining,Downtown,Moderately sensitive,Definitely not,Very unfair,Extremely important,15%,Switch to delivery in heat,Jan-Mar,4,Unpredictable pricing,Wait time estimate,Medium,1.08,,509.06,549.78,0.0,24.5,72.0,4,No
35-44,20001-35000,Professional,East Asian,Loyal to 1-2,Rarely,198.06,Lunch,Weekends,Dine-in,3-4 people,<3km,Indian/Pakistani,Depends on occasion,Downtown,Not sensitive,Definitely not,Unfair,Not important,10%,Outdoor dining in pleasant weather,"Oct-Dec, Jan-Mar",4,Unpredictable pricing,"Demand alerts, Loyalty rewards, Real-time pricing, Personalised discounts",Medium,1.05,47.8,198.06,207.96,0.0,,,4,No
18-24,10001-20000,Student,South Asian,Loyal to 1-2,Rarely,58.66,Dinner,Weekdays,Delivery App,Alone,<3km,Fast Food,Depends on occasion,DIFC,Slightly sensitive,Maybe,Very fair,Very important,5%,Switch to delivery in heat,Apr-Jun,4,"High weekend prices, Limited discounts","Demand alerts, Wait time estimate",Medium,1.01,,58.66,59.25,0.0,2.5,18.0,4,Yes
25-34,10001-20000,Family,South Asian,Loyal to 1-2,Once/week,127.9,Lunch,Both,Delivery App,3-4 people,<3km,Asian,Mid-range,Marina,Moderately sensitive,Definitely yes,Very fair,Extremely important,20%,Switch to delivery in heat,Oct-Dec,3,"Limited discounts, High delivery fees",Loyalty rewards,Medium,1.0,,127.9,127.9,0.0,1.1,13.0,3,Yes
18-24,<5000,Student,Western Expat,Few regulars,Once/month,37.61,Dinner,Weekends,Delivery App,3-4 people,<3km,Western,Budget/Casual,JBR,Moderately sensitive,Definitely yes,Somewhat fair,Not important,15%,Outdoor dining in pleasant weather,"Jul-Sep, Jan-Mar",4,"Hard to find tables, Limited discounts, Unpredictable pricing","Real-time pricing, Table availability",High,1.12,,37.61,42.12,0.0,1.8,18.0,4,Yes
18-24,10001-20000,Student,Arab,Few regulars,2-3/month,100.01,Late Night,Both,Delivery App,2 people,<3km,Healthy/Vegan,Depends on occasion,DIFC,Very sensitive,Maybe,Very fair,Moderately important,15%,Outdoor dining in pleasant weather,"Jul-Sep, Oct-Dec, Apr-Jun",2,"Long wait times, High weekend prices, Hard to find tables, Unpredictable pricing","Table availability, Demand alerts, Wait time estimate, Low-demand discounts",High,1.28,,100.01,128.01,0.0,2.9,19.0,2,Yes
55+,>35000,Family,Arab,Few regulars,2-3/month,516.11,Dinner,Weekends,Takeaway,3-4 people,3-7km,Healthy/Vegan,Premium/Fine Dining,DIFC,Not sensitive,Maybe,Very unfair,Slightly important,10%,Outdoor dining in pleasant weather,"Oct-Dec, Jan-Mar, Jul-Sep",3,"Long delivery time, High weekend prices, Long wait times, Unpredictable pricing","Loyalty rewards, Group dining deals, Low-demand discounts, Demand alerts",High,1.24,,516.11,639.98,0.0,4.6,27.0,3,No
25-34,10001-20000,Family,South Asian,Loyal to 1-2,Once/week,132.93,Late Night,Weekdays,Dine-in,3-4 people,7-15km,Asian,Mid-range,Mall,Not sensitive,Probably not,Very unfair,Moderately important,10%,Switch to delivery in heat,"Apr-Jun, Oct-Dec, Jan-Mar",5,Limited discounts,Real-time pricing,Medium,0.92,29.8,132.93,122.3,8.0,,,5,Yes
35-44,>35000,Professional,South Asian,Loyal to 1-2,2-3/month,207.4,Lunch,Weekends,Delivery App,2 people,3-7km,Indian/Pakistani,Mid-range,Downtown,Moderately sensitive,Definitely yes,Unfair,Slightly important,5%,No impact,"Jan-Mar, Jul-Sep, Oct-Dec",4,Unpredictable pricing,"Loyalty rewards, Table availability",Medium,1.0,,207.4,207.4,0.0,4.6,26.0,4,No
25-34,20001-35000,Professional,Arab,Loyalty program user,2-3/month,177.85,Late Night,Weekends,Takeaway,Alone,<3km,Arabic,Premium/Fine Dining,Business Bay,Moderately sensitive,Maybe,Neutral,Very important,20%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Jan-Mar",2,"Long delivery time, Crowded restaurants, Hard to find tables, Long wait times","Wait time estimate, Table availability, Low-demand discounts, Personalised discounts",High,1.28,,177.85,227.65,0.0,2.3,24.0,2,Yes
18-24,5000-10000,Family,South Asian,Loyalty program user,2-3/month,111.04,Lunch,Weekends,Dine-in,5+,7-15km,Indian/Pakistani,Mid-range,Mall,Moderately sensitive,Definitely not,Neutral,Moderately important,10%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec",5,"High weekend prices, High delivery fees",Loyalty rewards,Medium,0.98,71.7,111.04,108.82,2.0,,,5,Yes
45-54,10001-20000,Family,African,Loyalty program user,2-3/month,123.5,Lunch,Weekends,Delivery App,5+,<3km,Fast Food,Budget/Casual,DIFC,Moderately sensitive,Maybe,Neutral,Extremely important,10%,Switch to delivery in heat,Oct-Dec,4,"Hard to find tables, Long wait times, High weekend prices, Long delivery time","Wait time estimate, Table availability, Real-time pricing",Medium,0.95,,123.5,117.32,5.0,1.2,13.0,4,Yes
18-24,10001-20000,Student,South Asian,Few regulars,Multiple/week,72.01,Dinner,Both,Restaurant App,Alone,7-15km,Indian/Pakistani,Mid-range,Marina,Moderately sensitive,Definitely not,Very unfair,Very important,15%,Switch to delivery in heat,"Jan-Mar, Apr-Jun, Oct-Dec",4,"Unpredictable pricing, High delivery fees","Group dining deals, Real-time pricing, Low-demand discounts",High,1.19,,72.01,85.69,0.0,14.8,60.0,4,Yes
25-34,10001-20000,Professional,South Asian,Explorer,Once/week,114.86,Late Night,Weekends,Delivery App,2 people,3-7km,Indian/Pakistani,Depends on occasion,Deira,Moderately sensitive,Definitely not,Unfair,Extremely important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Apr-Jun",5,"Limited discounts, Hard to find tables, Unpredictable pricing",Low-demand discounts,High,1.23,,114.86,141.28,0.0,6.1,28.0,5,Yes
55+,20001-35000,Tourist,South Asian,Few regulars,2-3/month,341.88,Breakfast,Weekends,Dine-in,3-4 people,7-15km,Asian,Premium/Fine Dining,Marina,Slightly sensitive,Probably yes,Very unfair,Slightly important,15%,Switch to delivery in heat,Jan-Mar,5,"Crowded restaurants, Long wait times, Hard to find tables","Real-time pricing, Wait time estimate, Table availability",Medium,1.11,33.7,341.88,379.49,0.0,,,5,Yes
25-34,<5000,Tourist,Arab,Explorer,Once/month,72.72,Breakfast,Weekdays,Delivery App,2 people,<3km,Indian/Pakistani,Premium/Fine Dining,Business Bay,Very sensitive,Maybe,Unfair,Very important,20%,Dine-in more during heat,"Apr-Jun, Oct-Dec",4,"Long delivery time, Hard to find tables, Crowded restaurants",Demand alerts,Medium,1.06,,72.72,77.08,0.0,1.9,14.0,4,No
45-54,20001-35000,Professional,Arab,Loyalty program user,Multiple/week,97.68,Lunch,Weekends,Takeaway,2 people,<3km,Asian,Budget/Casual,Downtown,Moderately sensitive,Probably yes,Somewhat fair,Very important,15%,No impact,"Jan-Mar, Oct-Dec",2,"High delivery fees, Hard to find tables","Real-time pricing, Table availability, Loyalty rewards, Low-demand discounts",Medium,0.99,,97.68,96.7,1.0,1.7,21.0,2,No
18-24,10001-20000,Student,East Asian,Explorer,2-3/month,71.79,Dinner,Weekends,Delivery App,Alone,<3km,Western,Mid-range,Marina,Moderately sensitive,Maybe,Very fair,Very important,15%,No impact,"Apr-Jun, Jul-Sep, Jan-Mar",3,Long delivery time,"Real-time pricing, Low-demand discounts, Loyalty rewards",High,1.16,,71.79,83.28,0.0,1.1,20.0,3,Yes
18-24,20001-35000,Student,South Asian,Explorer,Multiple/week,353.47,Dinner,Both,Delivery App,3-4 people,7-15km,Indian/Pakistani,Premium/Fine Dining,JBR,Moderately sensitive,Maybe,Somewhat fair,Extremely important,20%,Dine-in more during heat,"Jan-Mar, Oct-Dec",5,"Hard to find tables, Long delivery time","Group dining deals, Table availability",High,1.24,,353.47,438.3,0.0,9.8,41.0,5,Yes
18-24,5000-10000,Student,South Asian,Explorer,Once/week,60.98,Dinner,Weekdays,Dine-in,2 people,3-7km,Indian/Pakistani,Budget/Casual,Mall,Slightly sensitive,Maybe,Unfair,Not important,10%,Switch to delivery in heat,"Apr-Jun, Jan-Mar",3,Unpredictable pricing,"Group dining deals, Low-demand discounts",Medium,0.93,84.5,60.98,56.71,7.0,,,3,Yes
18-24,5000-10000,Student,South Asian,Loyalty program user,Once/week,99.84,Late Night,Both,Dine-in,3-4 people,<3km,Western,Mid-range,JBR,Very sensitive,Probably yes,Neutral,Extremely important,>20%,No impact,"Oct-Dec, Jan-Mar",3,"Hard to find tables, Crowded restaurants, Unpredictable pricing, High weekend prices","Wait time estimate, Table availability",High,1.26,61.6,99.84,125.8,0.0,,,3,Yes
45-54,20001-35000,Family,Arab,Loyal to 1-2,Multiple/week,333.57,Dinner,Weekdays,Dine-in,3-4 people,3-7km,Arabic,Premium/Fine Dining,Deira,Moderately sensitive,Definitely yes,Very unfair,Very important,10%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",5,"High weekend prices, Limited discounts",Loyalty rewards,Medium,1.07,67.0,333.57,356.92,0.0,,,5,Yes
35-44,10001-20000,Family,African,Few regulars,Once/month,266.41,Lunch,Weekends,Delivery App,5+,<3km,Western,Premium/Fine Dining,JBR,Very sensitive,Maybe,Very unfair,Very important,15%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",5,"Long delivery time, Hard to find tables","Loyalty rewards, Personalised discounts",Medium,1.13,,266.41,301.04,0.0,2.2,18.0,5,No
45-54,5000-10000,Tourist,Western Expat,Few regulars,Multiple/week,44.02,Lunch,Both,Restaurant App,2 people,3-7km,Indian/Pakistani,Budget/Casual,DIFC,Very sensitive,Definitely yes,Very unfair,Very important,20%,Switch to delivery in heat,"Jul-Sep, Jan-Mar",3,"Long delivery time, Hard to find tables, Crowded restaurants","Low-demand discounts, Personalised discounts, Demand alerts, Real-time pricing",Medium,0.8,,44.02,35.22,20.0,6.1,30.0,3,Yes
18-24,5000-10000,Tourist,Western Expat,Few regulars,Once/week,68.73,Lunch,Both,Delivery App,2 people,3-7km,Healthy/Vegan,Mid-range,Mall,Moderately sensitive,Probably yes,Unfair,Very important,10%,No impact,"Jan-Mar, Oct-Dec, Apr-Jun",3,Unpredictable pricing,Personalised discounts,Medium,1.07,,68.73,73.54,0.0,6.3,29.0,3,Yes
35-44,10001-20000,Professional,Arab,Loyalty program user,Multiple/week,155.21,Dinner,Both,Restaurant App,5+,7-15km,Indian/Pakistani,Mid-range,Deira,Slightly sensitive,Definitely not,Somewhat fair,Slightly important,20%,Switch to delivery in heat,"Oct-Dec, Jul-Sep, Jan-Mar",3,"Long delivery time, Limited discounts, High delivery fees","Demand alerts, Low-demand discounts, Wait time estimate, Table availability",High,1.19,,155.21,184.7,0.0,7.1,35.0,3,Yes
35-44,10001-20000,Professional,Western Expat,Few regulars,Once/month,65.88,Late Night,Weekends,Delivery App,2 people,3-7km,Western,Budget/Casual,Mall,Moderately sensitive,Maybe,Unfair,Not important,5%,No impact,"Oct-Dec, Jul-Sep, Jan-Mar",5,Unpredictable pricing,"Real-time pricing, Table availability",High,1.14,,65.88,75.1,0.0,5.9,23.0,5,No
35-44,>35000,Professional,South Asian,Loyalty program user,Multiple/week,288.1,Dinner,Weekends,Dine-in,Alone,<3km,Fast Food,Premium/Fine Dining,JBR,Slightly sensitive,Probably not,Very unfair,Very important,15%,Switch to delivery in heat,Apr-Jun,4,"Long wait times, Limited discounts",Low-demand discounts,Medium,1.09,63.1,288.1,314.03,0.0,,,4,No
25-34,20001-35000,Professional,South Asian,Loyalty program user,Multiple/week,131.87,Dinner,Both,Restaurant App,Alone,>15km,Arabic,Mid-range,Downtown,Very sensitive,Maybe,Neutral,Extremely important,>20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar, Jul-Sep",4,Crowded restaurants,Demand alerts,High,1.31,,131.87,172.75,0.0,16.2,55.0,4,Yes
18-24,<5000,Student,South Asian,Explorer,Once/week,59.82,Dinner,Both,Dine-in,3-4 people,3-7km,Arabic,Depends on occasion,Deira,Very sensitive,Definitely yes,Neutral,Extremely important,>20%,Outdoor dining in pleasant weather,"Jan-Mar, Oct-Dec",4,"Hard to find tables, Long wait times, Crowded restaurants, Limited discounts","Wait time estimate, Personalised discounts, Real-time pricing",High,1.19,100.0,59.82,71.19,0.0,,,4,Yes
18-24,5000-10000,Student,South Asian,Few regulars,Once/week,90.71,Late Night,Weekends,Restaurant App,3-4 people,<3km,Indian/Pakistani,Mid-range,Business Bay,Moderately sensitive,Probably yes,Somewhat fair,Slightly important,15%,Switch to delivery in heat,"Oct-Dec, Jul-Sep",4,"Unpredictable pricing, Hard to find tables","Wait time estimate, Loyalty rewards, Group dining deals, Personalised discounts",High,1.23,,90.71,111.57,0.0,2.6,15.0,4,Yes
35-44,20001-35000,Family,South Asian,Loyalty program user,Once/week,162.82,Dinner,Both,Dine-in,3-4 people,3-7km,Indian/Pakistani,Mid-range,Business Bay,Moderately sensitive,Maybe,Unfair,Moderately important,15%,Outdoor dining in pleasant weather,Jan-Mar,4,"High delivery fees, Hard to find tables, Unpredictable pricing","Personalised discounts, Loyalty rewards",High,1.25,99.9,162.82,203.52,0.0,,,4,No
45-54,20001-35000,Professional,African,Loyalty program user,Multiple/week,393.95,Breakfast,Both,Takeaway,5+,7-15km,Western,Premium/Fine Dining,Downtown,Moderately sensitive,Maybe,Unfair,Moderately important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec",4,"Hard to find tables, High delivery fees, High weekend prices, Long wait times","Loyalty rewards, Personalised discounts, Real-time pricing",Medium,1.14,,393.95,449.1,0.0,14.9,58.0,4,Yes
55+,5000-10000,Tourist,Western Expat,Few regulars,Multiple/week,48.54,Breakfast,Weekdays,Restaurant App,2 people,7-15km,Asian,Budget/Casual,JBR,Moderately sensitive,Probably yes,Very unfair,Extremely important,20%,No impact,"Apr-Jun, Oct-Dec, Jan-Mar",2,"Long wait times, High delivery fees, High weekend prices, Crowded restaurants","Personalised discounts, Demand alerts, Loyalty rewards, Low-demand discounts",Medium,1.0,,48.54,48.54,0.0,8.9,42.0,2,Yes
25-34,5000-10000,Professional,South Asian,Loyalty program user,Once/week,60.9,Dinner,Weekends,Takeaway,2 people,3-7km,Fast Food,Mid-range,Marina,Very sensitive,Probably not,Neutral,Very important,>20%,No impact,"Jan-Mar, Apr-Jun",2,"High delivery fees, Long wait times","Demand alerts, Low-demand discounts",High,1.13,,60.9,68.82,0.0,3.6,29.0,2,Yes
35-44,5000-10000,Professional,Arab,Few regulars,Once/week,34.64,Breakfast,Both,Delivery App,Alone,<3km,Healthy/Vegan,Mid-range,Deira,Moderately sensitive,Maybe,Neutral,Very important,20%,Dine-in more during heat,Jul-Sep,4,Long delivery time,Group dining deals,Medium,1.03,,34.64,35.68,0.0,2.6,19.0,4,Yes
35-44,20001-35000,Family,South Asian,Loyalty program user,Once/week,194.36,Breakfast,Both,Takeaway,3-4 people,3-7km,Fast Food,Depends on occasion,Mall,Moderately sensitive,Probably not,Neutral,Very important,15%,Switch to delivery in heat,"Jan-Mar, Oct-Dec, Jul-Sep",4,"Long wait times, Long delivery time, High weekend prices","Wait time estimate, Real-time pricing, Demand alerts, Group dining deals",Medium,1.02,,194.36,198.25,0.0,4.2,26.0,4,Yes
25-34,<5000,Professional,Western Expat,Few regulars,Rarely,47.5,Dinner,Weekends,Dine-in,5+,<3km,Western,Budget/Casual,Deira,Moderately sensitive,Definitely yes,Somewhat fair,Moderately important,20%,Switch to delivery in heat,"Oct-Dec, Jan-Mar",3,"High delivery fees, Hard to find tables, High weekend prices, Long delivery time",Table availability,High,1.19,67.9,47.5,56.52,0.0,,,3,Yes
55+,10001-20000,Family,East Asian,Loyal to 1-2,2-3/month,72.74,Late Night,Both,Dine-in,2 people,<3km,Western,Budget/Casual,Marina,Moderately sensitive,Definitely yes,Very fair,Very important,20%,Switch to delivery in heat,"Oct-Dec, Apr-Jun",2,"Long delivery time, Unpredictable pricing, High weekend prices","Demand alerts, Table availability, Low-demand discounts",High,1.13,78.9,72.74,82.2,0.0,,,2,Yes
45-54,20001-35000,Family,South Asian,Loyal to 1-2,Once/week,165.5,Lunch,Weekends,Dine-in,5+,<3km,Indian/Pakistani,Budget/Casual,JBR,Moderately sensitive,Definitely yes,Somewhat fair,Extremely important,15%,No impact,"Oct-Dec, Jan-Mar",3,"Hard to find tables, High weekend prices, Limited discounts",Group dining deals,Medium,0.98,67.3,165.5,162.19,2.0,,,3,Yes
18-24,20001-35000,Professional,African,Few regulars,Multiple/week,220.32,Dinner,Weekends,Delivery App,5+,7-15km,Fast Food,Mid-range,JBR,Slightly sensitive,Definitely not,Very fair,Moderately important,10%,Dine-in more during heat,Apr-Jun,4,"Long delivery time, Limited discounts, Hard to find tables",Real-time pricing,Medium,0.95,,220.32,209.3,5.0,7.3,31.0,4,Yes
55+,10001-20000,Professional,Arab,Few regulars,Once/week,70.53,Lunch,Weekends,Dine-in,Alone,3-7km,Arabic,Mid-range,Business Bay,Moderately sensitive,Probably yes,Somewhat fair,Extremely important,10%,No impact,"Apr-Jun, Jan-Mar, Oct-Dec",5,"High delivery fees, Crowded restaurants, Limited discounts, Hard to find tables","Wait time estimate, Loyalty rewards, Real-time pricing",Medium,0.98,56.4,70.53,69.12,2.0,,,5,Yes
